Ref,Val,Package,PosX,PosY,Rot,Side
"R420","22k","R_0603_1608Metric",135.800000,-87.300000,180.000000,top
"R421","1k","R_0603_1608Metric",135.800000,-79.700000,180.000000,top
"R422","10k","R_0603_1608Metric",135.800000,-91.100000,180.000000,top
"R423","10k","R_0603_1608Metric",135.850000,-167.650000,180.000000,top
"R424","6.8k","R_0603_1608Metric",135.850000,-179.050000,180.000000,top
"R425","10k","R_0603_1608Metric",135.850000,-171.450000,180.000000,top
"R426","22k","R_0603_1608Metric",135.850000,-182.850000,180.000000,top
"R427","1k","R_0603_1608Metric",135.850000,-175.250000,180.000000,top
"R428","10k","R_0603_1608Metric",135.850000,-186.650000,180.000000,top
"R429","1k","R_0603_1608Metric",61.850000,-289.800000,0.000000,top
"R430","1k","R_0603_1608Metric",69.000000,-289.800000,0.000000,top
"R431","1k","R_0603_1608Metric",76.100000,-289.800000,0.000000,top
"R432","1k","R_0603_1608Metric",83.400000,-289.800000,0.000000,top
"R433","1k","R_0603_1608Metric",105.000000,-289.800000,0.000000,top
"R434","1k","R_0603_1608Metric",112.200000,-289.800000,0.000000,top
"R435","1k","R_0603_1608Metric",119.400000,-289.800000,0.000000,top
"R436","1k","R_0603_1608Metric",90.700000,-289.800000,0.000000,top
"R437","1k","R_0603_1608Metric",97.800000,-289.800000,0.000000,top
"R438","1k","R_0603_1608Metric",126.500000,-289.800000,0.000000,top
"R439","1k","R_0603_1608Metric",133.800000,-289.800000,0.000000,top
"R440","1k","R_0603_1608Metric",141.000000,-289.800000,0.000000,top
"R441","1k","R_0603_1608Metric",65.450000,-289.800000,0.000000,top
"R442","1k","R_0603_1608Metric",72.600000,-289.800000,0.000000,top
"R443","1k","R_0603_1608Metric",79.800000,-289.800000,0.000000,top
"R444","1k","R_0603_1608Metric",87.000000,-289.800000,0.000000,top
"R445","1k","R_0603_1608Metric",94.200000,-289.800000,0.000000,top
"R446","1k","R_0603_1608Metric",101.400000,-289.800000,0.000000,top
"R447","1k","R_0603_1608Metric",108.600000,-289.800000,0.000000,top
"R448","1k","R_0603_1608Metric",115.800000,-289.800000,0.000000,top
"R449","1k","R_0603_1608Metric",123.000000,-289.800000,0.000000,top
"R450","1k","R_0603_1608Metric",130.200000,-289.800000,0.000000,top
"R451","1k","R_0603_1608Metric",137.400000,-289.800000,0.000000,top
"R452","1k","R_0603_1608Metric",144.600000,-289.900000,0.000000,top
"R453","10k","R_0603_1608Metric",157.350000,-288.400000,90.000000,top
"R454","10k","R_0603_1608Metric",230.800000,-210.700000,-90.000000,top
"R455","10k","R_0603_1608Metric",230.800000,-218.275000,-90.000000,top
"R456","10k","R_0603_1608Metric",208.400000,-214.500000,-90.000000,top
"R457","1k","R_0603_1608Metric",219.700000,-214.600000,-90.000000,top
"R458","10k","R_0603_1608Metric",217.800000,-214.600000,-90.000000,top
"R460","1k","R_0603_1608Metric",206.600000,-214.500000,-90.000000,top
"R461","10k","R_0603_1608Metric",204.800000,-214.500000,-90.000000,top
"R462","10k","R_0603_1608Metric",194.300000,-214.700000,0.000000,top
"R463","10k","R_0603_1608Metric",194.300000,-218.300000,0.000000,top
"R464","100k","R_0603_1608Metric",159.250000,-288.400000,-90.000000,top
"R466","10k","R_0603_1608Metric",117.925000,-225.975000,-90.000000,top
"RV1","10k","Potentiometer_Bourns_3386P_Vertical",148.400000,-220.500000,-90.000000,top
"RV3","10k","Potentiometer_Bourns_3386P_Vertical",238.700000,-250.200000,-90.000000,top
"SW1","Switch","TA-3524S-A2",162.500000,-304.500000,-90.000000,top
"SW2","Button","SW_SPST_PTS645",228.000000,-301.800000,0.000000,top
"SW3","Button","SW_SPST_PTS645",192.600000,-305.400000,0.000000,top
"SW4","Button","SW_SPST_PTS645",192.600000,-298.200000,0.000000,top
"SW5","Button","SW_SPST_PTS645",203.200000,-301.825000,0.000000,top
"SW6","Button","SW_SPST_PTS645",182.000000,-301.800000,0.000000,top
"SW7","Switch","TA-3524S-A2",61.900000,-304.400000,-90.000000,top
"SW8","Switch","TA-3524S-A2",66.700000,-304.400000,-90.000000,top
"SW9","Switch","TA-3524S-A2",71.500000,-304.400000,-90.000000,top
"SW10","Switch","TA-3524S-A2",76.300000,-304.400000,-90.000000,top
"SW11","Switch","TA-3524S-A2",82.900000,-304.400000,-90.000000,top
"SW12","Switch","TA-3524S-A2",87.700000,-304.400000,-90.000000,top
"SW13","Switch","TA-3524S-A2",92.500000,-304.400000,-90.000000,top
"SW14","Switch","TA-3524S-A2",97.300000,-304.400000,-90.000000,top
"SW15","Switch","TA-3524S-A2",103.900000,-304.400000,-90.000000,top
"SW16","Switch","TA-3524S-A2",108.700000,-304.400000,-90.000000,top
"SW17","Switch","TA-3524S-A2",113.600000,-304.400000,-90.000000,top
"SW18","Switch","TA-3524S-A2",118.400000,-304.400000,-90.000000,top
"SW19","Button","SW_SPST_PTS645",151.350000,-305.450000,0.000000,top
"SW20","Button","SW_SPST_PTS645",140.800000,-305.450000,0.000000,top
"SW21","Button","SW_SPST_PTS645",130.300000,-305.450000,0.000000,top
"SW22","Button","SW_SPST_PTS645",130.300000,-296.500000,0.000000,top
"SW23","Button","SW_SPST_PTS645",140.800000,-296.500000,0.000000,top
"TP1","CLK","TestPoint_Loop_D2.50mm_Drill1.0mm",177.200000,-210.600000,0.000000,top
"U1","6264","SOP-28-330",223.800000,-238.700000,0.000000,top
"U2","6264","SOP-28-330",205.700000,-238.700000,0.000000,top
"U3","CAT809J","SOT-23",238.525000,-236.325000,0.000000,top
